"Kod";"Nazwa";"Zaplecze konferencyjne";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"z salą konferencyjną";"2009";2851;"ob.";""
0000000;"POLSKA";"z salą konferencyjną";"2013";3467;"ob.";""
0000000;"POLSKA";"z salą konferencyjną";"2017";3680;"ob.";""
0000000;"POLSKA";"z salą konferencyjną";"2021";3136;"ob.";""
0000000;"POLSKA";"liczba sal konferencyjnych";"2009";6014;"szt.";""
0000000;"POLSKA";"liczba sal konferencyjnych";"2013";7651;"szt.";""
0000000;"POLSKA";"liczba sal konferencyjnych";"2017";8193;"szt.";""
0000000;"POLSKA";"liczba sal konferencyjnych";"2021";7369;"szt.";""
0000000;"POLSKA";"liczba miejsc w salach konferencyjnych";"2009";376941;"msc.";""
0000000;"POLSKA";"liczba miejsc w salach konferencyjnych";"2013";508480;"msc.";""
0000000;"POLSKA";"liczba miejsc w salach konferencyjnych";"2017";555594;"msc.";""
0000000;"POLSKA";"liczba miejsc w salach konferencyjnych";"2021";475665;"msc.";""
0000000;"POLSKA";"z nagłośnieniem";"2009";2166;"ob.";""
0000000;"POLSKA";"z nagłośnieniem";"2013";2824;"ob.";""
0000000;"POLSKA";"z nagłośnieniem";"2017";3159;"ob.";""
0000000;"POLSKA";"z nagłośnieniem";"2021";2480;"ob.";""
0000000;"POLSKA";"z mikrofonem bezprzewodowym";"2009";1886;"ob.";""
0000000;"POLSKA";"z mikrofonem bezprzewodowym";"2013";2577;"ob.";""
0000000;"POLSKA";"z mikrofonem bezprzewodowym";"2017";2918;"ob.";""
0000000;"POLSKA";"z mikrofonem bezprzewodowym";"2021";2371;"ob.";""
0000000;"POLSKA";"z projektorem multimedialnym";"2009";;"ob.";""
0000000;"POLSKA";"z projektorem multimedialnym";"2013";;"ob.";""
0000000;"POLSKA";"z projektorem multimedialnym";"2017";3272;"ob.";""
0000000;"POLSKA";"z projektorem multimedialnym";"2021";2687;"ob.";""
0000000;"POLSKA";"z zestawem do wideokonferencji";"2009";;"ob.";""
0000000;"POLSKA";"z zestawem do wideokonferencji";"2013";;"ob.";""
0000000;"POLSKA";"z zestawem do wideokonferencji";"2017";973;"ob.";""
0000000;"POLSKA";"z zestawem do wideokonferencji";"2021";1123;"ob.";""
0000000;"POLSKA";"z rzutnikiem slajdów";"2009";;"ob.";""
0000000;"POLSKA";"z rzutnikiem slajdów";"2013";2731;"ob.";""
0000000;"POLSKA";"z rzutnikiem slajdów";"2017";;"ob.";""
0000000;"POLSKA";"z rzutnikiem slajdów";"2021";;"ob.";""
0000000;"POLSKA";"z zestawem wideo";"2009";;"ob.";""
0000000;"POLSKA";"z zestawem wideo";"2013";2244;"ob.";""
0000000;"POLSKA";"z zestawem wideo";"2017";;"ob.";""
0000000;"POLSKA";"z zestawem wideo";"2021";;"ob.";""
0000000;"POLSKA";"z obsługą techniczną";"2009";1656;"ob.";""
0000000;"POLSKA";"z obsługą techniczną";"2013";2158;"ob.";""
0000000;"POLSKA";"z obsługą techniczną";"2017";2132;"ob.";""
0000000;"POLSKA";"z obsługą techniczną";"2021";1758;"ob.";""
