"Kod";"Nazwa";"Rodzaje obiektów";"Rodzaje placówek";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"ogółem";"restauracje";"2019";3391;"ob.";""
0000000;"POLSKA";"ogółem";"restauracje";"2020";3134;"ob.";""
0000000;"POLSKA";"ogółem";"restauracje";"2021";3134;"ob.";""
0000000;"POLSKA";"ogółem";"restauracje";"2022";3124;"ob.";""
0000000;"POLSKA";"ogółem";"bary i kawiarnie";"2019";2234;"ob.";""
0000000;"POLSKA";"ogółem";"bary i kawiarnie";"2020";1979;"ob.";""
0000000;"POLSKA";"ogółem";"bary i kawiarnie";"2021";2027;"ob.";""
0000000;"POLSKA";"ogółem";"bary i kawiarnie";"2022";2063;"ob.";""
0000000;"POLSKA";"ogółem";"stołówki";"2019";1814;"ob.";""
0000000;"POLSKA";"ogółem";"stołówki";"2020";1622;"ob.";""
0000000;"POLSKA";"ogółem";"stołówki";"2021";1681;"ob.";""
0000000;"POLSKA";"ogółem";"stołówki";"2022";1602;"ob.";""
0000000;"POLSKA";"ogółem";"punkty gastronomiczne";"2019";530;"ob.";""
0000000;"POLSKA";"ogółem";"punkty gastronomiczne";"2020";460;"ob.";""
0000000;"POLSKA";"ogółem";"punkty gastronomiczne";"2021";490;"ob.";""
0000000;"POLSKA";"ogółem";"punkty gastronomiczne";"2022";499;"ob.";""
0000000;"POLSKA";"hotele";"restauracje";"2019";2317;"ob.";""
0000000;"POLSKA";"hotele";"restauracje";"2020";2153;"ob.";""
0000000;"POLSKA";"hotele";"restauracje";"2021";2170;"ob.";""
0000000;"POLSKA";"hotele";"restauracje";"2022";2210;"ob.";""
0000000;"POLSKA";"hotele";"bary i kawiarnie";"2019";1277;"ob.";""
0000000;"POLSKA";"hotele";"bary i kawiarnie";"2020";1156;"ob.";""
0000000;"POLSKA";"hotele";"bary i kawiarnie";"2021";1232;"ob.";""
0000000;"POLSKA";"hotele";"bary i kawiarnie";"2022";1278;"ob.";""
0000000;"POLSKA";"hotele";"stołówki";"2019";179;"ob.";""
0000000;"POLSKA";"hotele";"stołówki";"2020";150;"ob.";""
0000000;"POLSKA";"hotele";"stołówki";"2021";157;"ob.";""
0000000;"POLSKA";"hotele";"stołówki";"2022";176;"ob.";""
0000000;"POLSKA";"hotele";"punkty gastronomiczne";"2019";184;"ob.";""
0000000;"POLSKA";"hotele";"punkty gastronomiczne";"2020";159;"ob.";""
0000000;"POLSKA";"hotele";"punkty gastronomiczne";"2021";211;"ob.";""
0000000;"POLSKA";"hotele";"punkty gastronomiczne";"2022";210;"ob.";""
0000000;"POLSKA";"motele";"restauracje";"2019";61;"ob.";""
0000000;"POLSKA";"motele";"restauracje";"2020";55;"ob.";""
0000000;"POLSKA";"motele";"restauracje";"2021";58;"ob.";""
0000000;"POLSKA";"motele";"restauracje";"2022";56;"ob.";""
0000000;"POLSKA";"motele";"bary i kawiarnie";"2019";28;"ob.";""
0000000;"POLSKA";"motele";"bary i kawiarnie";"2020";21;"ob.";""
0000000;"POLSKA";"motele";"bary i kawiarnie";"2021";22;"ob.";""
0000000;"POLSKA";"motele";"bary i kawiarnie";"2022";21;"ob.";""
0000000;"POLSKA";"motele";"stołówki";"2019";3;"ob.";""
0000000;"POLSKA";"motele";"stołówki";"2020";2;"ob.";""
0000000;"POLSKA";"motele";"stołówki";"2021";2;"ob.";""
0000000;"POLSKA";"motele";"stołówki";"2022";3;"ob.";""
0000000;"POLSKA";"motele";"punkty gastronomiczne";"2019";4;"ob.";""
0000000;"POLSKA";"motele";"punkty gastronomiczne";"2020";3;"ob.";""
0000000;"POLSKA";"motele";"punkty gastronomiczne";"2021";6;"ob.";""
0000000;"POLSKA";"motele";"punkty gastronomiczne";"2022";6;"ob.";""
0000000;"POLSKA";"pensjonaty";"restauracje";"2019";144;"ob.";""
0000000;"POLSKA";"pensjonaty";"restauracje";"2020";136;"ob.";""
0000000;"POLSKA";"pensjonaty";"restauracje";"2021";130;"ob.";""
0000000;"POLSKA";"pensjonaty";"restauracje";"2022";128;"ob.";""
0000000;"POLSKA";"pensjonaty";"bary i kawiarnie";"2019";90;"ob.";""
0000000;"POLSKA";"pensjonaty";"bary i kawiarnie";"2020";83;"ob.";""
0000000;"POLSKA";"pensjonaty";"bary i kawiarnie";"2021";75;"ob.";""
0000000;"POLSKA";"pensjonaty";"bary i kawiarnie";"2022";82;"ob.";""
0000000;"POLSKA";"pensjonaty";"stołówki";"2019";115;"ob.";""
0000000;"POLSKA";"pensjonaty";"stołówki";"2020";106;"ob.";""
0000000;"POLSKA";"pensjonaty";"stołówki";"2021";103;"ob.";""
0000000;"POLSKA";"pensjonaty";"stołówki";"2022";98;"ob.";""
0000000;"POLSKA";"pensjonaty";"punkty gastronomiczne";"2019";9;"ob.";""
0000000;"POLSKA";"pensjonaty";"punkty gastronomiczne";"2020";10;"ob.";""
0000000;"POLSKA";"pensjonaty";"punkty gastronomiczne";"2021";10;"ob.";""
0000000;"POLSKA";"pensjonaty";"punkty gastronomiczne";"2022";15;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"restauracje";"2019";425;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"restauracje";"2020";382;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"restauracje";"2021";381;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"restauracje";"2022";365;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"bary i kawiarnie";"2019";215;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"bary i kawiarnie";"2020";187;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"bary i kawiarnie";"2021";184;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"bary i kawiarnie";"2022";175;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"stołówki";"2019";122;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"stołówki";"2020";112;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"stołówki";"2021";127;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"stołówki";"2022";119;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"punkty gastronomiczne";"2019";65;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"punkty gastronomiczne";"2020";44;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"punkty gastronomiczne";"2021";36;"ob.";""
0000000;"POLSKA";"inne obiekty hotelowe";"punkty gastronomiczne";"2022";44;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"restauracje";"2019";4;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"restauracje";"2020";6;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"restauracje";"2021";4;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"restauracje";"2022";3;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"bary i kawiarnie";"2019";5;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"bary i kawiarnie";"2020";4;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"bary i kawiarnie";"2021";3;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"bary i kawiarnie";"2022";2;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"stołówki";"2019";13;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"stołówki";"2020";11;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"stołówki";"2021";10;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"stołówki";"2022";9;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"punkty gastronomiczne";"2019";1;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"punkty gastronomiczne";"2020";3;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"punkty gastronomiczne";"2021";0;"ob.";""
0000000;"POLSKA";"domy wycieczkowe";"punkty gastronomiczne";"2022";2;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"restauracje";"2019";86;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"restauracje";"2020";75;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"restauracje";"2021";85;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"restauracje";"2022";70;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"bary i kawiarnie";"2019";202;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"bary i kawiarnie";"2020";175;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"bary i kawiarnie";"2021";167;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"bary i kawiarnie";"2022";163;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"stołówki";"2019";469;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"stołówki";"2020";456;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"stołówki";"2021";422;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"stołówki";"2022";393;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"punkty gastronomiczne";"2019";69;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"punkty gastronomiczne";"2020";58;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"punkty gastronomiczne";"2021";44;"ob.";""
0000000;"POLSKA";"ośrodki wczasowe";"punkty gastronomiczne";"2022";40;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"restauracje";"2019";2;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"restauracje";"2020";0;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"restauracje";"2021";0;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"restauracje";"2022";0;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"bary i kawiarnie";"2019";7;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"bary i kawiarnie";"2020";5;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"bary i kawiarnie";"2021";6;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"bary i kawiarnie";"2022";4;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"stołówki";"2019";68;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"stołówki";"2020";58;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"stołówki";"2021";59;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"stołówki";"2022";52;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"punkty gastronomiczne";"2019";0;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"punkty gastronomiczne";"2020";1;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"punkty gastronomiczne";"2021";0;"ob.";""
0000000;"POLSKA";"ośrodki kolonijne";"punkty gastronomiczne";"2022";0;"ob.";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"restauracje";"2019";74;"ob.";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"restauracje";"2020";77;"ob.";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"restauracje";"2021";80;"ob.";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"restauracje";"2022";68;"ob.";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"bary i kawiarnie";"2019";100;"ob.";""
