"Kod";"Nazwa";"Wyszczególnienie";"Kategorie";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2002";30.30;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2003";31.00;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2004";33.81;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2005";36.48;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2006";37.40;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2007";38.93;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2008";37.01;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2009";33.56;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2010";33.78;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2011";35.0;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2012";35.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2013";36.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2014";37.0;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2015";39.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2016";41.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2017";42.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2018";43.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2019";44.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2020";26.0;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2021";31.6;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"ogółem";"2022";43.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *****";"2002";38.60;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *****";"2003";37.40;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *****";"2004";43.33;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *****";"2005";53.11;"%";""
