"Kod";"Nazwa";"Rodzaje udogodnien";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"pochylnia wjazdowa";"2009";1806;"ob.";""
0000000;"POLSKA";"pochylnia wjazdowa";"2013";2200;"ob.";""
0000000;"POLSKA";"pochylnia wjazdowa";"2017";2487;"ob.";""
0000000;"POLSKA";"pochylnia wjazdowa";"2021";2121;"ob.";""
0000000;"POLSKA";"drzwi automatycznie otwierane";"2009";677;"ob.";""
0000000;"POLSKA";"drzwi automatycznie otwierane";"2013";1001;"ob.";""
0000000;"POLSKA";"drzwi automatycznie otwierane";"2017";1186;"ob.";""
0000000;"POLSKA";"drzwi automatycznie otwierane";"2021";1269;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";1380;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";1780;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";1817;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";2511;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
0000000;"POLSKA";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0000000;"POLSKA";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";1877;"ob.";""
0000000;"POLSKA";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";2200;"ob.";""
0000000;"POLSKA";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";2339;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych";"2009";925;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
0000000;"POLSKA";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";1813;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
0000000;"POLSKA";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pochylnia wjazdowa";"2009";148;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pochylnia wjazdowa";"2013";189;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pochylnia wjazdowa";"2017";210;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pochylnia wjazdowa";"2021";185;"ob.";""
0200000;"DOLNOŚLĄSKIE";"drzwi automatycznie otwierane";"2009";64;"ob.";""
0200000;"DOLNOŚLĄSKIE";"drzwi automatycznie otwierane";"2013";110;"ob.";""
0200000;"DOLNOŚLĄSKIE";"drzwi automatycznie otwierane";"2017";123;"ob.";""
0200000;"DOLNOŚLĄSKIE";"drzwi automatycznie otwierane";"2021";126;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
