"Kod";"Nazwa";"Rodzaje obiektow";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"ogółem";"2002";32.90;"%";""
0000000;"POLSKA";"ogółem";"2003";33.60;"%";""
0000000;"POLSKA";"ogółem";"2004";33.84;"%";""
0000000;"POLSKA";"ogółem";"2005";35.01;"%";""
0000000;"POLSKA";"ogółem";"2006";36.41;"%";""
0000000;"POLSKA";"ogółem";"2007";37.77;"%";""
0000000;"POLSKA";"ogółem";"2008";37.59;"%";""
0000000;"POLSKA";"ogółem";"2009";35.75;"%";""
0000000;"POLSKA";"ogółem";"2010";34.27;"%";""
0000000;"POLSKA";"ogółem";"2011";34.5;"%";""
0000000;"POLSKA";"ogółem";"2012";33.6;"%";""
0000000;"POLSKA";"ogółem";"2013";33.8;"%";""
0000000;"POLSKA";"ogółem";"2014";34.8;"%";""
0000000;"POLSKA";"ogółem";"2015";36.7;"%";""
0000000;"POLSKA";"ogółem";"2016";38.1;"%";""
0000000;"POLSKA";"ogółem";"2017";39.3;"%";""
0000000;"POLSKA";"ogółem";"2018";40.1;"%";""
0000000;"POLSKA";"ogółem";"2019";40.6;"%";""
0000000;"POLSKA";"ogółem";"2020";26.8;"%";""
0000000;"POLSKA";"ogółem";"2021";32.3;"%";""
0000000;"POLSKA";"ogółem";"2022";40.4;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2002";30.40;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2003";30.90;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2004";32.25;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2005";34.38;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2006";35.23;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2007";36.73;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2008";35.32;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2009";32.16;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2010";31.90;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2011";33.0;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2012";33.1;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2013";33.7;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2014";34.7;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2015";36.6;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2016";38.6;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2017";39.8;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2018";40.8;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2019";41.7;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2020";25.5;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2021";30.7;"%";""
0000000;"POLSKA";"obiekty hotelowe razem";"2022";41.3;"%";""
0000000;"POLSKA";"hotele";"2002";30.30;"%";""
0000000;"POLSKA";"hotele";"2003";31.00;"%";""
0000000;"POLSKA";"hotele";"2004";33.81;"%";""
0000000;"POLSKA";"hotele";"2005";36.48;"%";""
0000000;"POLSKA";"hotele";"2006";37.40;"%";""
0000000;"POLSKA";"hotele";"2007";38.93;"%";""
